,https://ecodb.net/ranking/imf_lp.html,,,,2020/3/26,https://www.mhlw.go.jp/stf/newpage_10465.html,,,
20,タイ,6779,,9,タイ,934,4,,
28,コロンビア,4983,,94,コロンビア,470,4,,
147,バーレーン,148,,34,バーレーン,419,4,,
99,香港,749,,2,香港,410,4,,
103,セルビア,699,,91,セルビア,384,4,,
135,リトアニア,281,,53,リトアニア,274,4,,
58,ブルキナファソ,1975,,106,ブルキナファソ,146,4,,
47,ガーナ,2956,,129,ガーナ,93,4,,
94,イスラエル,888,,31,イスラエル,2369,3,,
61,チリ,1875,,76,チリ,1142,3,,
113,フィンランド,551,,20,フィンランド,880,3,,
102,ブルガリア,700,,101,ブルガリア,242,3,,
,北マケドニア,207.7,,45,北マケドニア,177,3,,
130,ボスニア・ヘルツェゴビナ,350,,85,ボスニア・ヘルツェゴビナ,176,3,,
156,キプロス,86,,104,キプロス,132,3,,
101,パラグアイ,705,,98,パラグアイ,37,3,,
41,サウジアラビア,3341,,73,サウジアラビア,900,2,,
171,アイスランド,35,,55,アイスランド,737,2,,
112,シンガポール,564,,7,シンガポール,631,2,,
83,アラブ首長国連邦,1043,,19,アラブ首長国連邦,333,2,,
55,台湾,2359,,6,台湾,235,2,,
117,コスタリカ,502,,96,コスタリカ,201,2,,
87,アゼルバイジャン,994,,56,アゼルバイジャン,93,2,,
39,アフガニスタン,3602,,36,アフガニスタン,84,2,,
14,コンゴ民主共和国(旧ザイール),9503,,112,コンゴ民主共和国(旧ザイール),48,2,,
152,モーリシャス,127,,159,モーリシャス,48,2,,
9,ロシア,14680,,25,ロシア,651,1,,
125,クロアチア,409,,41,クロアチア,442,1,,
114,スロバキア,544,,92,スロバキア,216,1,,
,アンドラ,7.7,,69,アンドラ,188,1,,
128,モルドバ,354,,100,モルドバ,149,1,,
54,カメルーン,2488,,89,カメルーン,75,1,,
145,コソボ,179,,142,コソボ,63,1,,
,キューバ,1148,,120,キューバ,57,1,,
162,モンテネグロ,62,,153,モンテネグロ,52,1,,
7,ナイジェリア,19588,,54,ナイジェリア,46,1,,
134,ジャマイカ,286,,113,ジャマイカ,25,1,,
65,グアテマラ,1726,,126,グアテマラ,24,1,,
142,ガボン,205,,128,ガボン,6,1,,
,キュラソー,14.2,,139,キュラソー,6,1,,
159,ガイアナ,78,,116,ガイアナ,5,1,,
,ケイマン諸島（英領）,5.4,,119,ケイマン諸島（英領）,5,1,,
139,ガンビア,228,,158,ガンビア,3,1,,
70,ジンバブエ,1464,,170,ジンバブエ,3,1,,
34,スーダン,4199,,122,スーダン,3,1,,
,モントセラト（英領）,0.6,,164,モントセラト（英領）,1,1,,
24,南アフリカ,5794,,86,南アフリカ,709,0,,
136,カタール,272,,60,カタール,537,0,,
149,エストニア,132,,50,エストニア,404,0,,
132,アルメニア,297,,66,アルメニア,265,0,,
144,ラトビア,193,,71,ラトビア,221,0,,
118,ニュージーランド,493,,58,ニュージーランド,205,0,,
120,クウェート,457,,33,クウェート,195,0,,
129,ウルグアイ,351,,132,ウルグアイ,189,0,,
88,ヨルダン,990,,74,ヨルダン,172,0,,
15,ベトナム,9458,,10,ベトナム,141,0,,
166,マルタ,48,,97,マルタ,129,0,,
167,ブルネイ,44,,103,ブルネイ,109,0,,
57,スリランカ,2169,,18,スリランカ,102,0,,
123,オマーン,418,,35,オマーン,99,0,,
68,セネガル,1630,,72,セネガル,99,0,,
69,カンボジア,1625,,17,カンボジア,96,0,,
49,ベネズエラ,2886,,127,ベネズエラ,91,0,,
90,ベラルーシ,949,,57,ベラルーシ,86,0,,
63,カザフスタン,1840,,131,カザフスタン,81,0,,
52,コートジボワール,2561,,115,コートジボワール,80,0,,
127,ジョージア,373,,43,ジョージア,75,0,,
42,ウズベキスタン,3257,,146,ウズベキスタン,60,0,,
148,トリニダード・トバゴ,138,,121,トリニダード・トバゴ,60,0,,
,パレスチナ,505,,84,パレスチナ,60,0,,
,リヒテンシュタイン,3.9,,81,リヒテンシュタイン,51,0,,
107,キルギス,626,,155,キルギス,44,0,,
74,ルワンダ,1209,,137,ルワンダ,41,0,,
91,ホンジュラス,943,,111,ホンジュラス,36,0,,
78,ボリビア,1138,,110,ボリビア,32,0,,
,モナコ,3.9,,62,モナコ,31,0,,
160,マカオ,67,,3,マカオ,30,0,,
29,ケニア,4803,,125,ケニア,28,0,,
,ガーンジー（英領）,6.6,,117,ガーンジー（英領）,23,0,,
97,トーゴ,799,,90,トーゴ,23,0,,
,マン島（英王室属領）,8,,174,マン島（英王室属領）,23,0,,
51,マダガスカル,2633,,165,マダガスカル,19,0,,
172,バルバドス（英領）,29,,154,バルバドス（英領）,18,0,,
,ジャージー（英領）,9.6,,118,ジャージー（英領）,16,0,,
,ジブラルタル（英領）,3.2,,87,ジブラルタル（英領）,15,0,,
35,ウガンダ,3882,,175,ウガンダ,14,0,,
170,モルディブ,37,,102,モルディブ,13,0,,
,アルバ,10.3,,133,アルバ,12,0,,
16,エチオピア,9414,,124,エチオピア,12,0,,
64,ザンビア,1777,,156,ザンビア,12,0,,
25,タンザニア,5468,,149,タンザニア,12,0,,
154,ジブチ,105,,157,ジブチ,11,0,,
,ニューカレドニア,27.5,,176,ニューカレドニア,10,0,,
131,モンゴル,324,,108,モンゴル,10,0,,
104,エルサルバドル,664,,161,エルサルバドル,9,0,,
150,赤道ギニア,131,,147,赤道ギニア,9,0,,
164,スリナム,59,,140,スリナム,8,0,,
80,ハイチ,1112,,166,ハイチ,8,0,,
182,セーシェル,10,,135,セーシェル,7,0,,
184,ドミニカ国,7,,183,ドミニカ国,7,0,,
137,ナミビア,241,,134,ナミビア,7,0,,
56,ニジェール,2244,,168,ニジェール,7,0,,
,バミューダ（英領）,6.5,,181,バミューダ（英領）,6,0,,
76,ベナン,1149,,151,ベナン,6,0,,
,シリア,1795.2,,177,シリア,5,0,,
169,バハマ,38,,152,バハマ,5,0,,
155,フィジー,89,,160,フィジー,5,0,,
46,モザンビーク,3034,,178,モザンビーク,5,0,,
153,エスワティニ,110,,138,エスワティニ,4,0,,
109,エリトリア,605,,172,エリトリア,4,0,,
165,カーボヴェルデ,55,,171,カーボヴェルデ,4,0,,
71,ギニア,1329,,123,ギニア,4,0,,
122,コンゴ共和国,446,,143,コンゴ共和国,4,0,,
,バチカン,0.08,,93,バチカン,4,0,,
116,中央アフリカ,508,,145,中央アフリカ,4,0,,
48,アンゴラ,2925,,167,アンゴラ,3,0,,
183,アンティグア・バーブーダ,9,,130,アンティグア・バーブーダ,3,0,,
176,セントルシア,18,,136,セントルシア,3,0,,
73,チャド,1249,,162,チャド,3,0,,
50,ネパール,2809,,8,ネパール,3,0,,
26,ミャンマー,5283,,182,ミャンマー,3,0,,
100,ラオス,706,,184,ラオス,3,0,,
121,リベリア,446,,148,リベリア,3,0,,
146,ギニアビサウ,174,,186,ギニアビサウ,2,0,,
185,セントクリストファー・ネーヴィス,6,,188,セントクリストファー・ネーヴィス,2,0,,
106,ニカラグア,646,,163,ニカラグア,2,0,,
158,ブータン,82,,88,ブータン,2,0,,
62,マリ,1854,,187,マリ,2,0,,
126,モーリタニア,397,,141,モーリタニア,2,0,,
179,グレナダ,11,,179,グレナダ,1,0,,
178,セントビンセント・グレナディーン,11,,144,セントビンセント・グレナディーン,1,0,,
,ソマリア,1474,,150,ソマリア,1,0,,
,タークス・カイコス諸島（英領）,3.1,,185,タークス・カイコス諸島（英領）,1,0,,
,チャンネル諸島（英王室属領）,16.4,,107,チャンネル諸島（英王室属領）,1,0,,
96,パプアニューギニア,843,,169,パプアニューギニア,1,0,,
168,ベリーズ,40,,180,ベリーズ,1,0,,
105,リビア,651,,189,リビア,1,0,,
151,東ティモール,127,,173,東ティモール,1,0,,
45,イエメン,3082,,,イエメン,,,,
177,キリバス,12,,,キリバス,,,,
157,コモロ,85,,,コモロ,,,,
175,サモア,20,,,サモア,,,,
174,サントメ・プリンシペ,22,,,サントメ・プリンシペ,,,,
98,シエラレオネ,757,,,シエラレオネ,,,,
161,ソロモン諸島,63,,,,,,,*
92,タジキスタン,911,,,タジキスタン,,,,
190,ツバル,1,,,ツバル,,,,
111,トルクメニスタン,577,,,トルクメニスタン,,,,
181,トンガ,10,,,トンガ,,,,
189,ナウル,1,,,ナウル,,,,
173,バヌアツ,29,,,バヌアツ,,,,
188,パラオ,2,,,パラオ,,,,
79,ブルンジ,1119,,,ブルンジ,,,,
138,ボツワナ,234,,,ボツワナ,,,,
186,マーシャル,6,,,マーシャル,,,,
140,マケドニア,208,,,マケドニア,,,,
59,マラウイ,1972,,,マラウイ,,,,
180,ミクロネシア,10,,,ミクロネシア,,,,
143,レソト,203,,,レソト,,,,
72,南スーダン,1298,,,南スーダン,,,,
